"id","category","label","text"
149,"climate","Climate and atmospheric science","We study land-surface feedbacks using detection-and-attribution analysis. We measure extreme-event frequency and show that our approach indicates an accelerating warming trend. These results have implications for seasonal forecasting. We further discuss radiative forcing and its connection to the monsoon system."
150,"condensed_matter","Condensed matter and quantum materials","Motivated by open questions in high-temperature superconductors, we apply the tensor-network renormalization group to characterize the phase diagram. The results show that our method exhibits emergent fractionalized excitations, advancing quantum computing platforms. We further discuss the superconducting gap and its connection to topological insulators."
151,"climate","Climate and atmospheric science","Understanding the monsoon system remains challenging. Using reanalysis data assimilation, we analyse extreme-event frequency and observe that the model reduces uncertainty in projected sea-level rise, motivating further work in climate adaptation planning."
152,"climate","Climate and atmospheric science","We study regional precipitation extremes using reanalysis data assimilation. We measure the hydrological cycle and show that our approach reduces uncertainty in projected sea-level rise. These results have implications for carbon-budget accounting. We further discuss extreme-event frequency and its connection to regional precipitation extremes."
153,"number_theory","Number theory and combinatorics","We study elliptic curves over number fields using probabilistic combinatorics. We measure special L-values and show that our approach improves the best known bound. These results have implications for cryptographic hardness."
154,"deep_learning","Deep learning","This paper investigates deep neural networks. Building on parameter-efficient adapters, we quantify training throughput and find that the method improves robustness to distribution shift. Our findings inform recommendation systems. We further discuss training throughput and its connection to graph neural networks."
155,"cryptography","Cryptography and security","Motivated by open questions in homomorphic encryption, we apply reductions to hard lattice problems to characterize the security parameter. The results show that our method achieves provable security under standard assumptions, advancing privacy-preserving analytics."
156,"climate","Climate and atmospheric science","Understanding greenhouse-gas forcing remains challenging. Using paleoclimate proxy reconstruction, we analyse radiative forcing and observe that the model indicates an accelerating warming trend, motivating further work in carbon-budget accounting. We further discuss the hydrological cycle and its connection to land-surface feedbacks."
157,"climate","Climate and atmospheric science","Motivated by open questions in regional precipitation extremes, we apply satellite remote sensing to characterize radiative forcing. The results show that our method reduces uncertainty in projected sea-level rise, advancing flood-risk assessment."
158,"genomics","Genomics and molecular biology","Motivated by open questions in epigenetic modifications, we apply high-throughput sequencing to characterize regulatory element activity. The results show that our method links regulatory variants to disease risk, advancing developmental biology. We further discuss pathway enrichment and its connection to RNA splicing patterns."
159,"cosmology","Cosmology and astrophysics","We study galaxy clustering using spectroscopic surveys. We measure cluster mass functions and show that our approach favours a nearly scale-invariant spectrum. These results have implications for next-generation redshift surveys. We further discuss the dark energy equation of state and its connection to gravitational lensing."
160,"deep_learning","Deep learning","We study attention mechanisms using parameter-efficient adapters. We measure generalization gap and show that our approach learns transferable features across tasks. These results have implications for speech processing. We further discuss representation quality and its connection to deep neural networks."
161,"deep_learning","Deep learning","We revisit attention mechanisms through the lens of stochastic gradient descent. Studying classification accuracy, we show that the approach reduces the number of labelled examples required, which is relevant for image recognition."
162,"cosmology","Cosmology and astrophysics","Understanding dark matter halos remains challenging. Using Markov chain Monte Carlo sampling, we analyse the growth rate of structure and observe that the model favours a nearly scale-invariant spectrum, motivating further work in dark-sector physics."
163,"number_theory","Number theory and combinatorics","Understanding random matrix analogies remains challenging. Using the circle method, we analyse the rank of the group and observe that the model proves a conjecture in a wide range of cases, motivating further work in arithmetic statistics."
164,"condensed_matter","Condensed matter and quantum materials","We present a framework for studying magnetic skyrmions based on scanning tunnelling microscopy. Focusing on the Berry curvature, we demonstrate that it reveals an unconventional pairing symmetry, with applications to spintronic devices. We further discuss the electronic band structure and its connection to magnetic skyrmions."
165,"number_theory","Number theory and combinatorics","We study additive combinatorics using spectral methods. We measure class numbers and show that our approach improves the best known bound. These results have implications for arithmetic statistics."
166,"genomics","Genomics and molecular biology","This paper investigates the tumour microenvironment. Building on genome-wide association mapping, we quantify pathway enrichment and find that the method identifies previously uncharacterized cell states. Our findings inform rare-disease diagnosis."
167,"cosmology","Cosmology and astrophysics","We study large-scale structure formation using N-body simulations. We measure the growth rate of structure and show that our approach favours a nearly scale-invariant spectrum. These results have implications for dark-sector physics. We further discuss the Hubble constant and its connection to dark matter halos."
168,"deep_learning","Deep learning","Understanding transformer architectures remains challenging. Using contrastive pre-training, we analyse representation quality and observe that the model reduces the number of labelled examples required, motivating further work in image recognition."
169,"epidemiology","Epidemiology and public health","Understanding antimicrobial resistance remains challenging. Using cohort studies, we analyse incidence rates and observe that the model identifies groups at elevated risk, motivating further work in outbreak response. We further discuss incidence rates and its connection to population screening programmes."
170,"cryptography","Cryptography and security","This paper investigates zero-knowledge proof systems. Building on the random-oracle model, we quantify the attack surface and find that the method resists known quantum and classical attacks. Our findings inform financial infrastructure."
171,"number_theory","Number theory and combinatorics","This paper investigates elliptic curves over number fields. Building on algebraic geometry techniques, we quantify additive energy and find that the method proves a conjecture in a wide range of cases. Our findings inform coding theory."
172,"condensed_matter","Condensed matter and quantum materials","Understanding high-temperature superconductors remains challenging. Using scanning tunnelling microscopy, we analyse the phase diagram and observe that the model hosts robust topologically protected edge states, motivating further work in energy-efficient materials."
173,"cosmology","Cosmology and astrophysics","Motivated by open questions in the expansion history, we apply weak-lensing tomography to characterize the growth rate of structure. The results show that our method is consistent with the LambdaCDM concordance model, advancing next-generation redshift surveys. We further discuss cluster mass functions and its connection to dark matter halos."
174,"cosmology","Cosmology and astrophysics","This paper investigates dark matter halos. Building on cross-correlation analysis, we quantify the dark energy equation of state and find that the method favours a nearly scale-invariant spectrum. Our findings inform dark-sector physics."
175,"number_theory","Number theory and combinatorics","Motivated by open questions in L-functions, we apply algebraic geometry techniques to characterize the rank of the group. The results show that our method establishes an asymptotic formula under mild hypotheses, advancing cryptographic hardness."
176,"epidemiology","Epidemiology and public health","We revisit antimicrobial resistance through the lens of compartmental transmission models. Studying years of life lost, we show that the approach reveals persistent socioeconomic disparities, which is relevant for health-policy evaluation."
177,"cryptography","Cryptography and security","Understanding blockchain consensus protocols remains challenging. Using provable-security proofs, we analyse ciphertext expansion and observe that the model achieves provable security under standard assumptions, motivating further work in financial infrastructure. We further discuss the attack surface and its connection to zero-knowledge proof systems."
178,"climate","Climate and atmospheric science","This paper investigates Arctic sea-ice decline. Building on satellite remote sensing, we quantify climate sensitivity and find that the method attributes recent extremes to anthropogenic forcing. Our findings inform carbon-budget accounting."
179,"cryptography","Cryptography and security","Motivated by open questions in lattice-based signatures, we apply formal protocol verification to characterize key-exchange latency. The results show that our method improves the efficiency of the verifier, advancing digital identity. We further discuss proof size and its connection to blockchain consensus protocols."
180,"climate","Climate and atmospheric science","We revisit land-surface feedbacks through the lens of satellite remote sensing. Studying radiative forcing, we show that the approach reduces uncertainty in projected sea-level rise, which is relevant for climate adaptation planning."
181,"cryptography","Cryptography and security","We present a framework for studying homomorphic encryption based on formal protocol verification. Focusing on ciphertext expansion, we demonstrate that it reduces communication overhead substantially, with applications to privacy-preserving analytics. We further discuss the attack surface and its connection to blockchain consensus protocols."
182,"condensed_matter","Condensed matter and quantum materials","This paper investigates correlated electron systems. Building on scanning tunnelling microscopy, we quantify the electronic band structure and find that the method supports a nontrivial band topology. Our findings inform spintronic devices. We further discuss spin correlations and its connection to two-dimensional materials."
183,"epidemiology","Epidemiology and public health","This paper investigates antimicrobial resistance. Building on instrumental-variable estimation, we quantify years of life lost and find that the method supports the cost-effectiveness of early screening. Our findings inform resource allocation. We further discuss case-fatality ratios and its connection to the burden of chronic disease."
184,"condensed_matter","Condensed matter and quantum materials","We present a framework for studying two-dimensional materials based on quantum Monte Carlo. Focusing on the phase diagram, we demonstrate that it reveals an unconventional pairing symmetry, with applications to spintronic devices. We further discuss spin correlations and its connection to the fractional quantum Hall effect."
185,"deep_learning","Deep learning","We present a framework for studying recurrent sequence models based on curriculum learning. Focusing on calibration error, we demonstrate that it outperforms strong baselines on standard benchmarks, with applications to tabular prediction."
186,"deep_learning","Deep learning","Motivated by open questions in self-supervised representation learning, we apply knowledge distillation to characterize generalization gap. The results show that our method narrows the gap to fully supervised models, advancing image recognition."
187,"cryptography","Cryptography and security","We revisit side-channel attacks through the lens of formal protocol verification. Studying the soundness error, we show that the approach improves the efficiency of the verifier, which is relevant for privacy-preserving analytics."
188,"epidemiology","Epidemiology and public health","Understanding health inequalities remains challenging. Using instrumental-variable estimation, we analyse the basic reproduction number and observe that the model estimates substantial averted mortality from intervention, motivating further work in resource allocation."
189,"epidemiology","Epidemiology and public health","Understanding population screening programmes remains challenging. Using Bayesian hierarchical models, we analyse case-fatality ratios and observe that the model supports the cost-effectiveness of early screening, motivating further work in outbreak response."
190,"epidemiology","Epidemiology and public health","This paper investigates health inequalities. Building on difference-in-differences designs, we quantify healthcare utilization and find that the method supports the cost-effectiveness of early screening. Our findings inform outbreak response."
191,"epidemiology","Epidemiology and public health","We revisit antimicrobial resistance through the lens of instrumental-variable estimation. Studying years of life lost, we show that the approach reveals persistent socioeconomic disparities, which is relevant for resource allocation."
192,"deep_learning","Deep learning","This paper investigates self-supervised representation learning. Building on curriculum learning, we quantify representation quality and find that the method improves robustness to distribution shift. Our findings inform speech processing."
193,"cryptography","Cryptography and security","This paper investigates blockchain consensus protocols. Building on the random-oracle model, we quantify the soundness error and find that the method reduces communication overhead substantially. Our findings inform digital identity. We further discuss proof size and its connection to lattice-based signatures."
194,"number_theory","Number theory and combinatorics","Understanding random matrix analogies remains challenging. Using analytic estimates, we analyse special L-values and observe that the model improves the best known bound, motivating further work in computational number theory. We further discuss additive energy and its connection to sieve methods."
195,"cryptography","Cryptography and security","This paper investigates side-channel attacks. Building on provable-security proofs, we quantify the security parameter and find that the method reduces communication overhead substantially. Our findings inform financial infrastructure."
196,"climate","Climate and atmospheric science","Motivated by open questions in ocean heat uptake, we apply reanalysis data assimilation to characterize extreme-event frequency. The results show that our method attributes recent extremes to anthropogenic forcing, advancing seasonal forecasting. We further discuss the hydrological cycle and its connection to the global carbon cycle."
197,"cosmology","Cosmology and astrophysics","We study galaxy clustering using spectroscopic surveys. We measure the matter power spectrum and show that our approach is consistent with the LambdaCDM concordance model. These results have implications for cosmological forecasting. We further discuss the growth rate of structure and its connection to the cosmic microwave background."
198,"cryptography","Cryptography and security","This paper investigates side-channel attacks. Building on formal protocol verification, we quantify key-exchange latency and find that the method improves the efficiency of the verifier. Our findings inform digital identity. We further discuss key-exchange latency and its connection to homomorphic encryption."
199,"genomics","Genomics and molecular biology","We study CRISPR perturbation screens using variant calling pipelines. We measure allele-specific expression and show that our approach resolves heterogeneity within tumour samples. These results have implications for rare-disease diagnosis."
200,"genomics","Genomics and molecular biology","We present a framework for studying chromatin accessibility based on lineage tracing. Focusing on pathway enrichment, we demonstrate that it resolves heterogeneity within tumour samples, with applications to immunotherapy design."
201,"epidemiology","Epidemiology and public health","This paper investigates antimicrobial resistance. Building on compartmental transmission models, we quantify the cost-effectiveness ratio and find that the method supports the cost-effectiveness of early screening. Our findings inform resource allocation. We further discuss incidence rates and its connection to maternal health outcomes."
202,"climate","Climate and atmospheric science","We revisit Arctic sea-ice decline through the lens of detection-and-attribution analysis. Studying radiative forcing, we show that the approach attributes recent extremes to anthropogenic forcing, which is relevant for carbon-budget accounting."
203,"cosmology","Cosmology and astrophysics","We revisit type Ia supernovae through the lens of photometric redshift estimation. Studying primordial non-Gaussianity, we show that the approach favours a nearly scale-invariant spectrum, which is relevant for dark-sector physics. We further discuss cluster mass functions and its connection to baryon acoustic oscillations."
204,"genomics","Genomics and molecular biology","We study CRISPR perturbation screens using variant calling pipelines. We measure mutational burden and show that our approach uncovers coordinated transcriptional programmes. These results have implications for precision oncology."
205,"number_theory","Number theory and combinatorics","Understanding sieve methods remains challenging. Using algebraic geometry techniques, we analyse rational points and observe that the model establishes an asymptotic formula under mild hypotheses, motivating further work in arithmetic statistics."
206,"genomics","Genomics and molecular biology","This paper investigates protein-coding variants. Building on mass spectrometry, we quantify cell-type identity and find that the method uncovers coordinated transcriptional programmes. Our findings inform immunotherapy design."
207,"genomics","Genomics and molecular biology","Motivated by open questions in CRISPR perturbation screens, we apply mass spectrometry to characterize allele-specific expression. The results show that our method uncovers coordinated transcriptional programmes, advancing developmental biology."
208,"epidemiology","Epidemiology and public health","This paper investigates the burden of chronic disease. Building on compartmental transmission models, we quantify years of life lost and find that the method quantifies the impact of policy changes on outcomes. Our findings inform health-policy evaluation. We further discuss the basic reproduction number and its connection to the burden of chronic disease."
209,"cryptography","Cryptography and security","We revisit side-channel attacks through the lens of differential power analysis. Studying the security parameter, we show that the approach resists known quantum and classical attacks, which is relevant for digital identity."
210,"cosmology","Cosmology and astrophysics","Motivated by open questions in dark matter halos, we apply photometric redshift estimation to characterize primordial non-Gaussianity. The results show that our method is consistent with the LambdaCDM concordance model, advancing next-generation redshift surveys."
211,"genomics","Genomics and molecular biology","Motivated by open questions in RNA splicing patterns, we apply mass spectrometry to characterize regulatory element activity. The results show that our method links regulatory variants to disease risk, advancing rare-disease diagnosis. We further discuss pathway enrichment and its connection to RNA splicing patterns."
212,"cosmology","Cosmology and astrophysics","Understanding baryon acoustic oscillations remains challenging. Using N-body simulations, we analyse the growth rate of structure and observe that the model tightens constraints on cosmological parameters, motivating further work in dark-sector physics."
213,"climate","Climate and atmospheric science","We revisit greenhouse-gas forcing through the lens of detection-and-attribution analysis. Studying the hydrological cycle, we show that the approach indicates an accelerating warming trend, which is relevant for flood-risk assessment. We further discuss surface temperature trends and its connection to atmospheric aerosols."
214,"number_theory","Number theory and combinatorics","Motivated by open questions in random matrix analogies, we apply the large sieve to characterize rational points. The results show that our method resolves a special case of a long-standing problem, advancing computational number theory. We further discuss rational points and its connection to sieve methods."
215,"climate","Climate and atmospheric science","Understanding Arctic sea-ice decline remains challenging. Using coupled climate model ensembles, we analyse the hydrological cycle and observe that the model indicates an accelerating warming trend, motivating further work in seasonal forecasting. We further discuss extreme-event frequency and its connection to regional precipitation extremes."
216,"climate","Climate and atmospheric science","This paper investigates regional precipitation extremes. Building on coupled climate model ensembles, we quantify climate sensitivity and find that the method attributes recent extremes to anthropogenic forcing. Our findings inform climate adaptation planning."
217,"climate","Climate and atmospheric science","Understanding the global carbon cycle remains challenging. Using satellite remote sensing, we analyse extreme-event frequency and observe that the model reveals strong regional heterogeneity, motivating further work in seasonal forecasting. We further discuss radiative forcing and its connection to greenhouse-gas forcing."
218,"climate","Climate and atmospheric science","Understanding land-surface feedbacks remains challenging. Using satellite remote sensing, we analyse surface temperature trends and observe that the model reveals strong regional heterogeneity, motivating further work in climate adaptation planning."
219,"climate","Climate and atmospheric science","We revisit greenhouse-gas forcing through the lens of satellite remote sensing. Studying sea-level rise, we show that the approach highlights nonlinear feedback processes, which is relevant for seasonal forecasting."
220,"number_theory","Number theory and combinatorics","This paper investigates the distribution of prime numbers. Building on analytic estimates, we quantify additive energy and find that the method resolves a special case of a long-standing problem. Our findings inform coding theory."
221,"number_theory","Number theory and combinatorics","We present a framework for studying random matrix analogies based on the circle method. Focusing on special L-values, we demonstrate that it proves a conjecture in a wide range of cases, with applications to computational number theory."
222,"deep_learning","Deep learning","Motivated by open questions in recurrent sequence models, we apply adversarial fine-tuning to characterize classification accuracy. The results show that our method improves robustness to distribution shift, advancing speech processing."
223,"climate","Climate and atmospheric science","We present a framework for studying the global carbon cycle based on reanalysis data assimilation. Focusing on sea-level rise, we demonstrate that it highlights nonlinear feedback processes, with applications to climate adaptation planning."
224,"deep_learning","Deep learning","Understanding graph neural networks remains challenging. Using knowledge distillation, we analyse calibration error and observe that the model reduces the number of labelled examples required, motivating further work in tabular prediction."
225,"condensed_matter","Condensed matter and quantum materials","Understanding topological insulators remains challenging. Using angle-resolved photoemission spectroscopy, we analyse spin correlations and observe that the model supports a nontrivial band topology, motivating further work in spintronic devices."
226,"condensed_matter","Condensed matter and quantum materials","Motivated by open questions in correlated electron systems, we apply density functional theory to characterize the phase diagram. The results show that our method hosts robust topologically protected edge states, advancing spintronic devices."
227,"number_theory","Number theory and combinatorics","We revisit the distribution of prime numbers through the lens of the large sieve. Studying class numbers, we show that the approach establishes an asymptotic formula under mild hypotheses, which is relevant for computational number theory."
228,"genomics","Genomics and molecular biology","We revisit CRISPR perturbation screens through the lens of lineage tracing. Studying pathway enrichment, we show that the approach resolves heterogeneity within tumour samples, which is relevant for immunotherapy design."
229,"deep_learning","Deep learning","Understanding recurrent sequence models remains challenging. Using adversarial fine-tuning, we analyse generalization gap and observe that the model reduces the number of labelled examples required, motivating further work in tabular prediction. We further discuss representation quality and its connection to recurrent sequence models."
230,"cryptography","Cryptography and security","This paper investigates blockchain consensus protocols. Building on constant-time implementation, we quantify proof size and find that the method resists known quantum and classical attacks. Our findings inform financial infrastructure. We further discuss the attack surface and its connection to zero-knowledge proof systems."
231,"condensed_matter","Condensed matter and quantum materials","We study the fractional quantum Hall effect using neutron scattering. We measure the superconducting gap and show that our approach hosts robust topologically protected edge states. These results have implications for low-power electronics."
232,"deep_learning","Deep learning","We study convolutional models using contrastive pre-training. We measure sample efficiency and show that our approach improves robustness to distribution shift. These results have implications for speech processing."
233,"condensed_matter","Condensed matter and quantum materials","We study magnetic skyrmions using the tensor-network renormalization group. We measure the electronic band structure and show that our approach supports a nontrivial band topology. These results have implications for quantum computing platforms."
234,"condensed_matter","Condensed matter and quantum materials","Motivated by open questions in high-temperature superconductors, we apply neutron scattering to characterize the Berry curvature. The results show that our method hosts robust topologically protected edge states, advancing spintronic devices."
235,"genomics","Genomics and molecular biology","We present a framework for studying chromatin accessibility based on spatial transcriptomics. Focusing on allele-specific expression, we demonstrate that it uncovers coordinated transcriptional programmes, with applications to developmental biology."
236,"deep_learning","Deep learning","We present a framework for studying convolutional models based on data augmentation. Focusing on classification accuracy, we demonstrate that it improves robustness to distribution shift, with applications to speech processing."
237,"epidemiology","Epidemiology and public health","We study antimicrobial resistance using compartmental transmission models. We measure the cost-effectiveness ratio and show that our approach estimates substantial averted mortality from intervention. These results have implications for equity-focused screening."
238,"climate","Climate and atmospheric science","We study the global carbon cycle using reanalysis data assimilation. We measure radiative forcing and show that our approach attributes recent extremes to anthropogenic forcing. These results have implications for flood-risk assessment. We further discuss surface temperature trends and its connection to the monsoon system."
239,"cosmology","Cosmology and astrophysics","We study the cosmic microwave background using photometric redshift estimation. We measure the matter power spectrum and show that our approach is consistent with the LambdaCDM concordance model. These results have implications for cosmological forecasting."
240,"genomics","Genomics and molecular biology","Understanding gene regulatory networks remains challenging. Using lineage tracing, we analyse allele-specific expression and observe that the model implicates specific pathways in progression, motivating further work in immunotherapy design. We further discuss regulatory element activity and its connection to single-cell transcriptomes."
241,"deep_learning","Deep learning","We study recurrent sequence models using stochastic gradient descent. We measure training throughput and show that our approach improves robustness to distribution shift. These results have implications for speech processing. We further discuss sample efficiency and its connection to self-supervised representation learning."
242,"epidemiology","Epidemiology and public health","Motivated by open questions in maternal health outcomes, we apply cohort studies to characterize incidence rates. The results show that our method identifies groups at elevated risk, advancing equity-focused screening."
243,"cosmology","Cosmology and astrophysics","Understanding large-scale structure formation remains challenging. Using weak-lensing tomography, we analyse the matter power spectrum and observe that the model favours a nearly scale-invariant spectrum, motivating further work in next-generation redshift surveys."
244,"climate","Climate and atmospheric science","We revisit land-surface feedbacks through the lens of paleoclimate proxy reconstruction. Studying sea-level rise, we show that the approach reveals strong regional heterogeneity, which is relevant for carbon-budget accounting."
245,"deep_learning","Deep learning","Understanding transformer architectures remains challenging. Using stochastic gradient descent, we analyse training throughput and observe that the model reduces the number of labelled examples required, motivating further work in tabular prediction."
246,"cryptography","Cryptography and security","Understanding blockchain consensus protocols remains challenging. Using differential power analysis, we analyse key-exchange latency and observe that the model resists known quantum and classical attacks, motivating further work in digital identity."
247,"climate","Climate and atmospheric science","Motivated by open questions in greenhouse-gas forcing, we apply satellite remote sensing to characterize sea-level rise. The results show that our method highlights nonlinear feedback processes, advancing climate adaptation planning."
248,"condensed_matter","Condensed matter and quantum materials","This paper investigates quantum spin liquids. Building on angle-resolved photoemission spectroscopy, we quantify the Berry curvature and find that the method reveals an unconventional pairing symmetry. Our findings inform low-power electronics."
249,"deep_learning","Deep learning","This paper investigates graph neural networks. Building on data augmentation, we quantify representation quality and find that the method narrows the gap to fully supervised models. Our findings inform tabular prediction. We further discuss representation quality and its connection to attention mechanisms."
250,"epidemiology","Epidemiology and public health","Motivated by open questions in vaccine effectiveness, we apply survival analysis to characterize years of life lost. The results show that our method reveals persistent socioeconomic disparities, advancing health-policy evaluation. We further discuss incidence rates and its connection to health inequalities."
251,"number_theory","Number theory and combinatorics","We revisit additive combinatorics through the lens of analytic estimates. Studying class numbers, we show that the approach improves the best known bound, which is relevant for coding theory."
252,"climate","Climate and atmospheric science","Motivated by open questions in atmospheric aerosols, we apply downscaling techniques to characterize sea-level rise. The results show that our method indicates an accelerating warming trend, advancing seasonal forecasting."
253,"cosmology","Cosmology and astrophysics","We present a framework for studying the cosmic microwave background based on cross-correlation analysis. Focusing on cluster mass functions, we demonstrate that it reveals a mild tension with local measurements, with applications to cosmological forecasting."
254,"cosmology","Cosmology and astrophysics","This paper investigates gravitational lensing. Building on photometric redshift estimation, we quantify the dark energy equation of state and find that the method reveals a mild tension with local measurements. Our findings inform next-generation redshift surveys. We further discuss cluster mass functions and its connection to the cosmic microwave background."
255,"genomics","Genomics and molecular biology","This paper investigates CRISPR perturbation screens. Building on differential expression analysis, we quantify cell-type identity and find that the method identifies previously uncharacterized cell states. Our findings inform developmental biology. We further discuss clonal architecture and its connection to single-cell transcriptomes."
256,"deep_learning","Deep learning","We revisit convolutional models through the lens of knowledge distillation. Studying generalization gap, we show that the approach outperforms strong baselines on standard benchmarks, which is relevant for recommendation systems."
257,"cryptography","Cryptography and security","This paper investigates authenticated encryption. Building on reductions to hard lattice problems, we quantify the attack surface and find that the method closes a previously overlooked side channel. Our findings inform privacy-preserving analytics."
258,"epidemiology","Epidemiology and public health","Motivated by open questions in the burden of chronic disease, we apply survival analysis to characterize years of life lost. The results show that our method supports the cost-effectiveness of early screening, advancing health-policy evaluation. We further discuss case-fatality ratios and its connection to maternal health outcomes."
259,"condensed_matter","Condensed matter and quantum materials","We revisit high-temperature superconductors through the lens of neutron scattering. Studying the electronic band structure, we show that the approach displays a tunable metal-insulator transition, which is relevant for energy-efficient materials. We further discuss the Berry curvature and its connection to correlated electron systems."
260,"epidemiology","Epidemiology and public health","We study maternal health outcomes using propensity-score matching. We measure healthcare utilization and show that our approach reveals persistent socioeconomic disparities. These results have implications for health-policy evaluation."
261,"cosmology","Cosmology and astrophysics","This paper investigates gravitational lensing. Building on Markov chain Monte Carlo sampling, we quantify the dark energy equation of state and find that the method tightens constraints on cosmological parameters. Our findings inform dark-sector physics."
262,"genomics","Genomics and molecular biology","Motivated by open questions in gene regulatory networks, we apply genome-wide association mapping to characterize clonal architecture. The results show that our method implicates specific pathways in progression, advancing precision oncology. We further discuss cell-type identity and its connection to epigenetic modifications."
263,"condensed_matter","Condensed matter and quantum materials","We present a framework for studying quantum spin liquids based on the tensor-network renormalization group. Focusing on the phase diagram, we demonstrate that it exhibits emergent fractionalized excitations, with applications to quantum computing platforms."
264,"cosmology","Cosmology and astrophysics","We revisit large-scale structure formation through the lens of Markov chain Monte Carlo sampling. Studying the Hubble constant, we show that the approach tightens constraints on cosmological parameters, which is relevant for dark-sector physics. We further discuss the Hubble constant and its connection to gravitational lensing."
265,"condensed_matter","Condensed matter and quantum materials","We study topological insulators using quantum Monte Carlo. We measure the electronic band structure and show that our approach supports a nontrivial band topology. These results have implications for energy-efficient materials. We further discuss the superconducting gap and its connection to two-dimensional materials."
266,"climate","Climate and atmospheric science","Motivated by open questions in greenhouse-gas forcing, we apply downscaling techniques to characterize the hydrological cycle. The results show that our method reduces uncertainty in projected sea-level rise, advancing flood-risk assessment."
267,"deep_learning","Deep learning","We present a framework for studying transformer architectures based on mixed-precision training. Focusing on generalization gap, we demonstrate that it narrows the gap to fully supervised models, with applications to autonomous perception. We further discuss calibration error and its connection to convolutional models."
268,"deep_learning","Deep learning","This paper investigates convolutional models. Building on mixed-precision training, we quantify representation quality and find that the method outperforms strong baselines on standard benchmarks. Our findings inform autonomous perception. We further discuss generalization gap and its connection to generative diffusion models."
269,"cryptography","Cryptography and security","This paper investigates post-quantum key exchange. Building on formal protocol verification, we quantify the soundness error and find that the method improves the efficiency of the verifier. Our findings inform financial infrastructure."
270,"deep_learning","Deep learning","Understanding recurrent sequence models remains challenging. Using stochastic gradient descent, we analyse calibration error and observe that the model narrows the gap to fully supervised models, motivating further work in autonomous perception."
271,"number_theory","Number theory and combinatorics","This paper investigates additive combinatorics. Building on the large sieve, we quantify class numbers and find that the method proves a conjecture in a wide range of cases. Our findings inform computational number theory."
272,"cryptography","Cryptography and security","We study authenticated encryption using provable-security proofs. We measure the security parameter and show that our approach improves the efficiency of the verifier. These results have implications for financial infrastructure."
273,"number_theory","Number theory and combinatorics","This paper investigates modular forms. Building on the circle method, we quantify rational points and find that the method establishes an asymptotic formula under mild hypotheses. Our findings inform coding theory."
274,"cosmology","Cosmology and astrophysics","We revisit dark matter halos through the lens of Markov chain Monte Carlo sampling. Studying primordial non-Gaussianity, we show that the approach reveals a mild tension with local measurements, which is relevant for dark-sector physics. We further discuss primordial non-Gaussianity and its connection to large-scale structure formation."
275,"condensed_matter","Condensed matter and quantum materials","We study two-dimensional materials using angle-resolved photoemission spectroscopy. We measure the superconducting gap and show that our approach supports a nontrivial band topology. These results have implications for low-power electronics. We further discuss quasiparticle interference and its connection to quantum spin liquids."
276,"condensed_matter","Condensed matter and quantum materials","This paper investigates correlated electron systems. Building on transport measurements, we quantify the phase diagram and find that the method reveals an unconventional pairing symmetry. Our findings inform spintronic devices."
277,"cryptography","Cryptography and security","We revisit side-channel attacks through the lens of differential power analysis. Studying ciphertext expansion, we show that the approach improves the efficiency of the verifier, which is relevant for digital identity."
278,"cryptography","Cryptography and security","We present a framework for studying homomorphic encryption based on differential power analysis. Focusing on the security parameter, we demonstrate that it reduces communication overhead substantially, with applications to secure messaging."
279,"genomics","Genomics and molecular biology","This paper investigates RNA splicing patterns. Building on lineage tracing, we quantify cell-type identity and find that the method identifies previously uncharacterized cell states. Our findings inform immunotherapy design. We further discuss cell-type identity and its connection to CRISPR perturbation screens."
280,"climate","Climate and atmospheric science","Motivated by open questions in atmospheric aerosols, we apply reanalysis data assimilation to characterize radiative forcing. The results show that our method highlights nonlinear feedback processes, advancing flood-risk assessment. We further discuss climate sensitivity and its connection to the global carbon cycle."
281,"cosmology","Cosmology and astrophysics","This paper investigates the cosmic microwave background. Building on spectroscopic surveys, we quantify primordial non-Gaussianity and find that the method constrains the sum of neutrino masses. Our findings inform next-generation redshift surveys."
282,"condensed_matter","Condensed matter and quantum materials","Motivated by open questions in topological insulators, we apply neutron scattering to characterize spin correlations. The results show that our method displays a tunable metal-insulator transition, advancing quantum computing platforms. We further discuss the superconducting gap and its connection to high-temperature superconductors."
283,"number_theory","Number theory and combinatorics","This paper investigates modular forms. Building on probabilistic combinatorics, we quantify rational points and find that the method reveals an unexpected connection to modular forms. Our findings inform coding theory."
284,"deep_learning","Deep learning","Understanding recurrent sequence models remains challenging. Using parameter-efficient adapters, we analyse sample efficiency and observe that the model narrows the gap to fully supervised models, motivating further work in autonomous perception."
285,"condensed_matter","Condensed matter and quantum materials","Motivated by open questions in topological insulators, we apply the tensor-network renormalization group to characterize spin correlations. The results show that our method displays a tunable metal-insulator transition, advancing quantum computing platforms."
286,"cosmology","Cosmology and astrophysics","Motivated by open questions in dark matter halos, we apply photometric redshift estimation to characterize the matter power spectrum. The results show that our method tightens constraints on cosmological parameters, advancing dark-sector physics."
287,"climate","Climate and atmospheric science","This paper investigates ocean heat uptake. Building on paleoclimate proxy reconstruction, we quantify climate sensitivity and find that the method attributes recent extremes to anthropogenic forcing. Our findings inform carbon-budget accounting."
